submission_date,product_id,product_name,product_brand,site_category_lv1,site_category_lv2,review_title,overall_rating,review_text,reviewer_birth_year,reviewer_gender,reviewer_state,chunks,valid_chunks
2018-01-01 02:54:14,22562178,Copo Acrílico Com Canudo 500ml Rocie,,Utilidades Domésticas,"Copos, Taças e Canecas",Fantástico,5,['comprar pra cara membro de o família em esse natal'],,,,"[""['comprar pra cara membro de o família em esse"", ""em esse natal']""]","[""['comprar pra cara membro de o família em esse""]"
2018-01-01 03:06:04,126474851,Aspirador de Pó Philco Rapid 1000N Vermelho/Preto - 1000W,philco,Eletroportáteis,Aspirador e Vassoura Elétrica,Maravilhoso!!!,5,['produto maravilhoso barulhento fácil manuseio tranquilo montar desmontar entrega antes de o prazo tratar época de o natal americana parabéns produto bom recomendo força'],1967.0,F,RJ,"[""['produto maravilhoso barulhento fácil manuseio"", 'manuseio tranquilo montar desmontar entrega antes', 'antes de o prazo tratar época de o natal', 'o natal americana parabéns produto bom recomendo', ""recomendo força']""]","[""['produto maravilhoso barulhento fácil manuseio"", 'manuseio tranquilo montar desmontar entrega antes', 'antes de o prazo tratar época de o natal', 'o natal americana parabéns produto bom recomendo']"
2018-01-01 03:32:47,29302228,Conjunto de Panelas Antiaderente Turim 10 Peças Vermelha Tramontina,,Utilidades Domésticas,Panelas,Amei o produto,5,['jogo panela excelente material entregar tempo design bom'],,,,"[""['jogo panela excelente material entregar tempo"", ""tempo design bom']""]","[""['jogo panela excelente material entregar tempo""]"
2018-01-01 03:35:48,132444050,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado",,Celulares e Smartphones,Smartphone,Revoltado,1,['celular valer nada bateria valer nada descarregar sozinha usar esquentar tanto fazer medo espludi mau compra de o vida ter condição quebrar mil pedaço comprar outro qualquer marca menos motorolo'],1970.0,M,BA,"[""['celular valer nada bateria valer nada"", 'nada descarregar sozinha usar esquentar tanto', 'tanto fazer medo espludi mau compra de o vida ter', 'vida ter condição quebrar mil pedaço comprar', ""comprar outro qualquer marca menos motorolo']""]","[""['celular valer nada bateria valer nada"", 'nada descarregar sozinha usar esquentar tanto', 'tanto fazer medo espludi mau compra de o vida ter', 'vida ter condição quebrar mil pedaço comprar', ""comprar outro qualquer marca menos motorolo']""]"
2018-01-01 03:59:57,24717741,Tênis Casual Conforto Beira Rio,,Moda,Feminino,satisfeito,5,['produto acordo esperar somente prazo entrega ficar pouco desejar pouco longo'],1961.0,M,SP,"[""['produto acordo esperar somente prazo entrega"", ""entrega ficar pouco desejar pouco longo']""]","[""['produto acordo esperar somente prazo entrega"", ""entrega ficar pouco desejar pouco longo']""]"
2018-01-01 04:03:27,16804573,Mochila Sport Escolar Camping Trilha Viagem Passeio,,Malas e Acessórios,Mochilas,o zipe,2,['mochila nao fechar direito nao recomer filho nao ter deixar sujo ir devolver'],1976.0,M,RJ,"[""['mochila nao fechar direito nao recomer filho nao"", ""filho nao ter deixar sujo ir devolver']""]","[""['mochila nao fechar direito nao recomer filho nao"", ""filho nao ter deixar sujo ir devolver']""]"
2018-01-01 04:09:40,11491071,Toldo Versátil Artplas 120x60cm Branco E Cristal,,Móveis,Puff e Tamborete,Condizente com o anúncio,4,['produto condizente anúncio material bom qualidade fácil instalação montagem preço acordo necessidade cada'],1973.0,M,SP,"[""['produto condizente anúncio material bom"", 'bom qualidade fácil instalação montagem preço', ""preço acordo necessidade cada']""]","[""['produto condizente anúncio material bom"", 'bom qualidade fácil instalação montagem preço']"
2018-01-01 04:11:35,132381802,"Smart TV LED 65"" Samsung 65MU6100 UHD 4K HDR Premium com Conversor Digital 3 HDMI 2 USB 120Hz",,TV e Home Theater,TV,muito bom,4,['nao ter nada reclamar bom atendimento entregar dentro de o combinado'],1950.0,M,SP,"[""['nao ter nada reclamar bom atendimento entregar"", ""entregar dentro de o combinado']""]","[""['nao ter nada reclamar bom atendimento entregar"", ""entregar dentro de o combinado']""]"
2018-01-01 04:12:32,16161591,"Barra De Cereal Nestlé Banana, Aveia E Mel 60g 3 Unidades",,Alimentos e Bebidas,Barra de Cereais,muito bom,4,['agora produto compr entregar certo obrigado continuar assim'],1980.0,M,SP,"[""['agora produto compr entregar certo obrigado"", ""obrigado continuar assim']""]","[""['agora produto compr entregar certo obrigado""]"
2018-01-01 04:24:12,26936514,Capa Protetora Toyota Corola Com Cadeado,,Automotivo,Capas para Carro,Vou usa-la,3,['capa decepcionar enquanto Bolsa guarda transporte extremamente frágil em o abertura conferência rasgar todo volta junto a o fecho péssima impressão ter guardalar noutra embalagem pena'],1953.0,M,RS,"[""['capa decepcionar enquanto Bolsa guarda"", 'guarda transporte extremamente frágil em o', 'em o abertura conferência rasgar todo volta junto', 'junto a o fecho péssima impressão ter guardalar', ""guardalar noutra embalagem pena']""]","[""['capa decepcionar enquanto Bolsa guarda"", 'guarda transporte extremamente frágil em o', 'em o abertura conferência rasgar todo volta junto', 'junto a o fecho péssima impressão ter guardalar']"
2018-01-01 04:27:44,125768030,"Smartphone LG K10 Dual Chip Android 6.0 Marshmallow Tela 5.3"" 16GB 4G Câmera 13MP TV Digital - Dourado",lg,Celulares e Smartphones,Smartphone,Gostei do produto,3,['produto ofereçe prometer em o anúncio entregar rapir bem antes de o prazo'],1986.0,M,PE,"[""['produto ofereçe prometer em o anúncio entregar"", ""entregar rapir bem antes de o prazo']""]","[""['produto ofereçe prometer em o anúncio entregar"", ""entregar rapir bem antes de o prazo']""]"
2018-01-01 04:42:04,132739181,"Smart TV Android LED 49"" TCL C2 49C2US Ultra HD 4K com Conversor Digital Soundbar Integrado 3 HDMI e 2 USB 120Hz - Preta",,TV e Home Theater,TV,TV Espetacular,5,['ponto positivo painel bit fazer todo diferença de o   bilhão cor bluetooth wifi ac usb   input lag baixo painel va proporcionar alto contraste android tv   som de o tv realmente excepcional saída de o auto falante voltar frente vir   controle remoto   tv realmente formidável valer pena ter comprar tclr'],1993.0,M,MG,"[""['ponto positivo painel bit fazer todo diferença"", 'diferença de o   bilhão cor bluetooth wifi ac usb', 'ac usb   input lag baixo painel va proporcionar', 'alto contraste android tv   som de o tv realmente', 'realmente excepcional saída de o auto falante', 'falante voltar frente vir   controle remoto   tv', 'tv realmente formidável valer pena ter comprar', ""comprar tclr']""]","[""['ponto positivo painel bit fazer todo diferença"", 'diferença de o   bilhão cor bluetooth wifi ac usb', 'ac usb   input lag baixo painel va proporcionar', 'alto contraste android tv   som de o tv realmente', 'realmente excepcional saída de o auto falante', 'falante voltar frente vir   controle remoto   tv', 'tv realmente formidável valer pena ter comprar']"
2018-01-01 04:44:27,113048617,Cafeteira Elétrica Cadence Single CAF111 com 2 Xícaras - Vermelho,cadence,Eletroportáteis,Cafeteira,Perfeito,5,['bom de o imaginar superar expectativa'],1985.0,F,RJ,"[""['bom de o imaginar superar expectativa']""]","[""['bom de o imaginar superar expectativa']""]"
2018-01-01 04:46:19,132631701,Mop Giratório Fit + Refil Extra - At Home,,Utilidades Domésticas,Material de Limpeza,Perfeito,5,['super levar prático fácil manuseio perfeito p'],1985.0,F,RJ,"[""['super levar prático fácil manuseio perfeito p']""]","[""['super levar prático fácil manuseio perfeito p']""]"
2018-01-01 04:57:35,19865866,Câmera Estilo Go-Pro Sports Hd 1080p Esportes Radicais,,Câmeras e Filmadoras,Câmera Digital,Muito bom estão de parabéns,5,['ter agradecer parabéns'],1975.0,M,PR,"[""['ter agradecer parabéns']""]",[]
2018-01-01 04:59:09,125061667,"Chaleira Elétrica Cadence CEL800 1,7 Litros Inox Prime",cadence,Eletroportáteis,Chaleira Elétrica,Eu não recebi o produto????!!!!!!!,1,['recebir produto americanas saber de isso pois relatar reclamação diversos vez ir devolver dinheiro em o procon'],1971.0,F,SP,"[""['recebir produto americanas saber de isso pois"", 'isso pois relatar reclamação diversos vez ir', ""vez ir devolver dinheiro em o procon']""]","[""['recebir produto americanas saber de isso pois"", 'isso pois relatar reclamação diversos vez ir', ""vez ir devolver dinheiro em o procon']""]"
2018-01-01 05:00:10,126030651,Camiseta Speedo Basic Blend UV 50+,speedo,Vestuário Esportivo,Masculino,Ótimo produto,4,['bom produto comprei pessoa albino adorar super levar tecido'],1973.0,F,RS,"[""['bom produto comprei pessoa albino adorar super"", ""super levar tecido']""]","[""['bom produto comprei pessoa albino adorar super""]"
2018-01-01 05:09:43,22562178,Copo Acrílico Com Canudo 500ml Rocie,,Utilidades Domésticas,"Copos, Taças e Canecas",O melhor,5,['pra gostar qualidade preço acessível todo eis bom opção'],1993.0,M,ES,"[""['pra gostar qualidade preço acessível todo eis"", ""todo eis bom opção']""]","[""['pra gostar qualidade preço acessível todo eis""]"
2018-01-01 05:12:05,23167779,Penteadeira Jb 7200 Com Banqueta Amarelo - Jb Bechara,,Móveis,Penteadeira,"O produto foi devolvido,  devido estar avariado.",2,['gostar cancelar compra peçar gentileza informar dever proceder'],1980.0,M,ES,"[""['gostar cancelar compra peçar gentileza informar"", ""informar dever proceder']""]","[""['gostar cancelar compra peçar gentileza informar""]"
2018-01-01 05:12:13,125397208,"Smartphone Samsung Galaxy A5 2016 Dual Chip Android 5.1 Tela 5.2"" 16GB 4G Câmera 13MP - Dourado",samsung,Celulares e Smartphones,Smartphone,Mediano com recursos de um top,4,['tela impecável prioridade telo câmerar cara ponto fraco ficar conta de o armazenamento apenas gb por o câmera frontal apenas mpixels flash em o entanto câmera principal Mpixels perfazer'],1990.0,M,PI,"[""['tela impecável prioridade telo câmerar cara"", 'cara ponto fraco ficar conta de o armazenamento', 'apenas gb por o câmera frontal apenas mpixels', 'mpixels flash em o entanto câmera principal', ""principal Mpixels perfazer']""]","[""['tela impecável prioridade telo câmerar cara"", 'cara ponto fraco ficar conta de o armazenamento', 'apenas gb por o câmera frontal apenas mpixels', 'mpixels flash em o entanto câmera principal']"
2018-01-01 05:17:39,132581775,"Smartphone Asus Zenfone 4 Selfie Dual Chip Android 7 Tela 5.5"" Snapdragon 64GB 4G Câmera Traseira 16MP Dual Frontal 20MP + 8MP - Preto",,Celulares e Smartphones,Smartphone,Produto ótimo e entrega rápida,5,['aparelho condizr descrição super top ter zen fone   comprar esposo amar super recomer'],1989.0,M,SP,"[""['aparelho condizr descrição super top ter zen"", 'ter zen fone   comprar esposo amar super', ""super recomer']""]","[""['aparelho condizr descrição super top ter zen"", 'ter zen fone   comprar esposo amar super']"
2018-01-01 05:20:38,13076327,Refil Esfregão Mop Limpeza Prática,,Utilidades Domésticas,Material de Limpeza,Não  recebi ainda foi devolvido!,1,['recebir segundo correio endereço   errado porém outro pedido recebir'],1984.0,F,BA,"[""['recebir segundo correio endereço   errado porém"", ""porém outro pedido recebir']""]","[""['recebir segundo correio endereço   errado porém""]"
2018-01-01 05:25:09,30092551,Kit Câmera instantânea Fujifilm Instax Mini 9 c/ Bolsa e Filme 10 poses - Azul Aqua,,Câmeras e Filmadoras,Câmera Instantânea,Gostei muito.,4,['bonito prática chegar antes de o prazo americana parabéns'],1973.0,F,BA,"[""['bonito prática chegar antes de o prazo americana"", ""americana parabéns']""]","[""['bonito prática chegar antes de o prazo americana""]"
2018-01-01 05:30:00,132569282,"Smartphone Motorola Moto X4 Dual Cam Android 7.0 Tela 5.2"" Octa-Core 32GB Wi-Fi 4G Câmera 12MP - Azul Topázio",,Celulares e Smartphones,Smartphone,Produto muito bom,5,['top linha valer pena comprar gostar arreper ter comprar'],1977.0,M,PI,"[""['top linha valer pena comprar gostar arreper ter"", ""ter comprar']""]","[""['top linha valer pena comprar gostar arreper ter""]"
2018-01-01 05:33:50,117744100,Repetidor de Sinal 300Mbps 2.4Ghz TL-WA850RE - TP-Link,tp-link,Informática e Acessórios,Equipamento de Rede / Wireless,Produto Legal,5,['excelente produtogostar excelente produtogostar'],1975.0,M,SE,"[""['excelente produtogostar excelente"", ""excelente produtogostar']""]",[]
2018-01-01 05:35:28,132399201,Game Pro Evolution Soccer 2018 - Xbox360,,Games,Xbox 360,Gostei do msmo...,4,['excelente produtogostar excelente produtogostar'],1975.0,M,SE,"[""['excelente produtogostar excelente"", ""excelente produtogostar']""]",[]
2018-01-01 05:37:22,130945441,"Smartphone Samsung Galaxy S7 Edge Android 6.0 Tela 5.5"" 128GB 4G Câmera 12MP - Black Piano",samsung,Celulares e Smartphones,Smartphone,Excelente,5,['bom custo benefício exatamente   anunciar recomer'],1980.0,M,SP,"[""['bom custo benefício exatamente   anunciar"", ""anunciar recomer']""]","[""['bom custo benefício exatamente   anunciar""]"
2018-01-01 05:47:53,132127601,"Smart TV LED Philips 43"" 43pfg5102/78 com Conversor Digital Wi-Fi integrado 2 USB 3 HDMI",philips,TV e Home Theater,TV,Gostei muito do produto!,4,['sim bom produto poder comprar poblema gostar de o produto'],1960.0,M,SP,"[""['sim bom produto poder comprar poblema gostar de"", ""gostar de o produto']""]","[""['sim bom produto poder comprar poblema gostar de""]"
2018-01-01 05:48:03,26673481,Smartphone Motorola Moto C Xt1750 Dual Sim Tela 5.0 8gb 5mp/2mp - Preto,,Celulares e Smartphones,Celular Básico,Bom produto,3,['gostar saber celular ter câmera frontal'],1988.0,F,MG,"[""['gostar saber celular ter câmera frontal']""]","[""['gostar saber celular ter câmera frontal']""]"
2018-01-01 05:52:43,18813436,Câmera Ip Jl Protec Pantilt 1.0mp Ir-Cut Onvif - Hd - Wifi Com Áudio,,Casa e Construção,Segurança,Dentro da expectativa.,4,['exceção vir marca verde a o invés jl   protect   funcionar super bem   coisa chinês bem parecir'],1975.0,M,SP,"[""['exceção vir marca verde a o invés jl   protect"", 'protect   funcionar super bem   coisa chinês bem', ""bem parecir']""]","[""['exceção vir marca verde a o invés jl   protect"", 'protect   funcionar super bem   coisa chinês bem']"
2018-01-01 05:53:54,132222369,"Smartphone Motorola Moto G5 Plus Dual Chip Android Nougat 7.0 Tela 5,2"" Octa-Core 2GHz 2GB 4G Câmera 12MP - Azul Safira",motorola,Celulares e Smartphones,Smartphone,Maravilha,4,['achar lir too linha design lir câmerar resposta bom rápido preço prazo tudo certinhoador celularparabéns americanasnotar dez'],1959.0,M,SP,"[""['achar lir too linha design lir câmerar resposta"", 'resposta bom rápido preço prazo tudo certinhoador', ""celularparabéns americanasnotar dez']""]","[""['achar lir too linha design lir câmerar resposta"", 'resposta bom rápido preço prazo tudo certinhoador']"
2018-01-01 05:56:40,9768970,"Piscina Retangular Mor Premium 5.000 Litros, Lona De Pvc",,Esporte e Lazer,Praia e Piscina,Gostei muito do produto e da rapidez com que foi entregue.,4,['fiquei satisfeito segurança garantia todo transação entretanto fiz outro compra em o dia   hoje entregar diferenciar compra de o outro relação entrega'],1940.0,M,RJ,"[""['fiquei satisfeito segurança garantia todo"", 'todo transação entretanto fiz outro compra em o', 'em o dia   hoje entregar diferenciar compra de o', ""de o outro relação entrega']""]","[""['fiquei satisfeito segurança garantia todo"", 'todo transação entretanto fiz outro compra em o', 'em o dia   hoje entregar diferenciar compra de o', ""de o outro relação entrega']""]"
2018-01-01 06:01:22,128906477,Conjunto  Potes de Vidro Multiuso 3 Peças Vermelho - Euro Home,euro home,Utilidades Domésticas,Utensílios e Acessórios Domésticos,Excelente,5,['adorar produto bonito prático recomendar entrega fazer antes de o prazo'],1982.0,F,MG,"[""['adorar produto bonito prático recomendar entrega"", ""entrega fazer antes de o prazo']""]","[""['adorar produto bonito prático recomendar entrega"", ""entrega fazer antes de o prazo']""]"
2018-01-01 06:04:46,118212404,Livro - Primeiro Amor,,Livros,Literatura Estrangeira,Nao chegou,2,['nao vir produto nao chegar entao ter avaliar'],1992.0,F,SP,"[""['nao vir produto nao chegar entao ter avaliar']""]","[""['nao vir produto nao chegar entao ter avaliar']""]"
2018-01-01 06:05:50,11466760,Grandiôse Lancôme - Máscara Para Os Cílios 01,,Beleza e Perfumaria,Maquiagem,incrível!,5,['máscar cílio incrível ter pouquíssimo cílio dar super efeito ameir'],1989.0,F,RJ,"[""['máscar cílio incrível ter pouquíssimo cílio dar"", ""cílio dar super efeito ameir']""]","[""['máscar cílio incrível ter pouquíssimo cílio dar"", ""cílio dar super efeito ameir']""]"
2018-01-01 06:06:44,132444050,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado",,Celulares e Smartphones,Smartphone,Excelente produto,5,['aparelho ótimo qualidade defeito entregar pontualidade qualidade'],1998.0,F,SP,"[""['aparelho ótimo qualidade defeito entregar"", ""entregar pontualidade qualidade']""]","[""['aparelho ótimo qualidade defeito entregar""]"
2018-01-01 06:07:02,124499501,Livro - Física Conceitual,,Livros,Ciências Exatas,o produto foi entregue dentro do prazo,5,['produto chegar em o prazo bom ter bem atendido solicitar algo em o site'],1957.0,F,MG,"[""['produto chegar em o prazo bom ter bem atendido"", ""atendido solicitar algo em o site']""]","[""['produto chegar em o prazo bom ter bem atendido"", ""atendido solicitar algo em o site']""]"
2018-01-01 06:07:25,26941862,Lona Azul Polietileno 100mc 4x4,,Esporte e Lazer,Camping,Muito boa o produto,3,['ter bom acabamento pratico servir precisar'],1978.0,F,RS,"[""['ter bom acabamento pratico servir precisar']""]","[""['ter bom acabamento pratico servir precisar']""]"
2018-01-01 06:08:02,23118870,Caixa De Som Sem Fio Home Theater 4x1 Fm P2 Bluetooth Usb Wm 1300 Celular Computador,,Áudio,Micro System,Muito útil,4,['bom equipamento som forte portátil prático usar'],1945.0,M,RJ,"[""['bom equipamento som forte portátil prático"", ""prático usar']""]","[""['bom equipamento som forte portátil prático""]"
2018-01-01 06:08:46,25668212,Oculos Lupa Cabeça 8 Lentes 2 Leds Alto Brilho para Ourives,,Papelaria,Luminárias e Acessórios para Leitura,Top,5,['perfeito funcionar bem bom acabamento recomer'],1983.0,M,PR,"[""['perfeito funcionar bem bom acabamento recomer']""]","[""['perfeito funcionar bem bom acabamento recomer']""]"
2018-01-01 06:09:10,25651210,Varal Recolhível Retrátil De Parede 30 Metros Branco Seca Fácil,,Utilidades Domésticas,"Cabide, Cestos e Varal de Roupas",Nota dez,5,['produto   excelência doméstico querer usar montar usar desmontar'],1975.0,M,SP,"[""['produto   excelência doméstico querer usar"", ""usar montar usar desmontar']""]","[""['produto   excelência doméstico querer usar""]"
2018-01-01 06:09:58,130788449,Escova Soft Brush 1000W - Philco,philco,Beleza e Perfumaria,Aparelhos elétricos para cabelo,Eficiente,4,['cabelo alinhar frizz rápido de o escova convencional aprovadíssimo'],1976.0,F,SP,"[""['cabelo alinhar frizz rápido de o escova"", ""o escova convencional aprovadíssimo']""]","[""['cabelo alinhar frizz rápido de o escova""]"
2018-01-01 06:10:20,132444771,"Smartphone Motorola Moto G 5s Plus Dual Chip Android 7.1.1 Nougat Tela 5.5"" Snapdragon 625 32GB 4G 13MP Câmera Dual Cam - Ouro rosa",,Celulares e Smartphones,Smartphone,Não gostei do produto!,1,['câmera frontal de o terrível tanto fazer tá claro escuro foto ficar ruim qualquer jeito arrependido'],1992.0,F,RN,"[""['câmera frontal de o terrível tanto fazer tá"", 'fazer tá claro escuro foto ficar ruim qualquer', ""qualquer jeito arrependido']""]","[""['câmera frontal de o terrível tanto fazer tá"", 'fazer tá claro escuro foto ficar ruim qualquer']"
2018-01-01 06:10:44,124488474,HD Externo Portátil Seagate Expansion 1TB USB 3.0,seagate,Informática e Acessórios,HD Externo,Hd muito bom,5,['gostar de o produto valer pena compra atender a o objetivo adquirir'],1969.0,F,ES,"[""['gostar de o produto valer pena compra atender a"", ""atender a o objetivo adquirir']""]","[""['gostar de o produto valer pena compra atender a"", ""atender a o objetivo adquirir']""]"
2018-01-01 06:11:35,122772412,"Tablet Samsung Galaxy Tab A com S Pen P355M 16GB Wi-Fi 4G Tela 8"" Android 5.0 Quad-Core - Branco",samsung,Informática,Tablet e iPad,Valeu cada centavo!,5,['útil pesquisa baixar publicação vídeo usar app jw library   parabéns'],1979.0,M,SP,"[""['útil pesquisa baixar publicação vídeo usar app"", ""usar app jw library   parabéns']""]","[""['útil pesquisa baixar publicação vídeo usar app"", ""usar app jw library   parabéns']""]"
2018-01-01 06:12:48,19563959,Extensor 10cm De Grade Porta Do Portão Utilar,,Casa e Construção,"Portas, Janelas e Portões",Não recebi o produto,1,['recebir produto transportadora colocar recebir preciso receber produto'],1978.0,F,RJ,"[""['recebir produto transportadora colocar recebir"", ""recebir preciso receber produto']""]","[""['recebir produto transportadora colocar recebir""]"
2018-01-01 06:13:09,11023019,Secador Taiff Fox Ion 2000w - Preto -127v,,Relógios,Relógios,"Bom, mas nada especial.",3,['secador bom cumprir papel secador mediano ter nada especial achar valer custar soubesse ter investir outro bom menos outro provavelmente fazer coisa'],1982.0,F,RJ,"[""['secador bom cumprir papel secador mediano ter"", 'ter nada especial achar valer custar soubesse ter', 'ter investir outro bom menos outro provavelmente', ""fazer coisa']""]","[""['secador bom cumprir papel secador mediano ter"", 'ter nada especial achar valer custar soubesse ter', 'ter investir outro bom menos outro provavelmente']"
2018-01-01 06:15:02,19371961,Capa Protetora Chevrolet  S10 Forro Parcial,,Automotivo,Capas para Carro,otimo,5,['recomendar produto bom material bom qualidade'],1969.0,M,MT,"[""['recomendar produto bom material bom qualidade']""]","[""['recomendar produto bom material bom qualidade']""]"
2018-01-01 06:15:10,5446783,Tequila Mexicana Especial 750ml - Jose Cuervo,jose cuervo,Alimentos e Bebidas,Bebidas Alcoólicas,Parece original,4,['parecer original vir lacr tudo certoentregar rápido final ano'],1985.0,M,GO,"[""['parecer original vir lacr tudo certoentregar"", ""rápido final ano']""]","[""['parecer original vir lacr tudo certoentregar""]"
2018-01-01 06:16:11,17922016,Bateria Notebook - Samsung Rv410 - Preta,,Informática e Acessórios,Acessórios para Notebook,Ok,4,['produto funcionar corretamente bom importante sempre destacar em o anúncio bateria bom marca diferente de o marca samsung'],1984.0,M,SP,"[""['produto funcionar corretamente bom importante"", 'sempre destacar em o anúncio bateria bom marca', ""bom marca diferente de o marca samsung']""]","[""['produto funcionar corretamente bom importante"", 'sempre destacar em o anúncio bateria bom marca', ""bom marca diferente de o marca samsung']""]"
2018-01-01 06:16:16,117744100,Repetidor de Sinal 300Mbps 2.4Ghz TL-WA850RE - TP-Link,tp-link,Informática e Acessórios,Equipamento de Rede / Wireless,Bom,3,['produto cumprir falar único porém Internet cair pouco velocidade'],1962.0,F,SP,"[""['produto cumprir falar único porém Internet cair"", ""cair pouco velocidade']""]","[""['produto cumprir falar único porém Internet cair""]"
